TIME, ED_COUNTER, AF3, F7, F3, FC5, T7, P7, O1, O2, P8, T8, FC6, F4, F8, AF4, LABEL
11_55_49,31,4078.46,4081.03,4102.56,4093.33,4100.51,4100.51,4111.79,4126.15,4098.46,4088.72,4138.46,4156.41,4157.95,4151.79,0
11_55_49,32,4076.41,4065.64,4103.08,4088.72,4094.36,4103.59,4109.74,4123.59,4097.44,4085.13,4149.74,4154.87,4194.36,4159.49,0
11_55_49,33,4074.36,4053.33,4103.59,4084.62,4099.49,4108.72,4108.21,4122.56,4107.69,4094.87,4160,4163.59,4228.72,4171.79,0
11_55_49,34,4063.08,4044.1,4101.03,4078.97,4092.31,4103.08,4108.21,4128.21,4110.77,4101.03,4161.03,4168.21,4247.18,4169.74,0
11_55_49,35,4054.87,4040.51,4096.92,4072.82,4088.72,4092.82,4104.1,4124.1,4101.54,4090.26,4149.74,4155.9,4254.87,4154.87,0
11_55_49,36,4058.97,4043.08,4095.9,4074.36,4088.21,4090.26,4102.56,4119.49,4101.54,4088.21,4143.08,4150.26,4264.1,4150.77,0
11_55_49,37,4061.03,4042.56,4093.85,4077.95,4075.38,4092.31,4098.97,4124.1,4110.26,4101.03,4150.26,4155.9,4267.18,4156.92,0
11_55_49,38,4051.28,4033.33,4090.77,4070.77,4073.85,4089.74,4090.26,4120.51,4098.46,4099.49,4148.72,4151.28,4256.92,4150.77,0
11_55_49,39,4042.56,4024.1,4090.77,4065.64,4091.79,4089.23,4092.31,4116.92,4082.56,4087.69,4135.38,4145.64,4252.31,4136.92,0
11_55_49,40,4047.69,4029.23,4094.36,4072.31,4097.44,4091.79,4105.13,4132.31,4098.97,4091.79,4143.08,4154.36,4262.56,4142.56,0
11_55_49,41,4059.49,4041.54,4096.92,4078.46,4090.26,4097.44,4107.69,4140,4113.33,4107.18,4156.41,4160.51,4264.62,4155.9,0
11_55_49,42,4059.49,4040.51,4095.38,4075.38,4089.23,4104.62,4103.08,4124.62,4093.85,4103.59,4145.13,4156.92,4253.33,4149.23,0
11_55_49,43,4052.31,4033.33,4095.38,4073.33,4099.49,4106.67,4107.69,4121.03,4086.15,4089.74,4131.79,4152.31,4242.56,4135.38,0
11_55_49,44,4055.38,4035.9,4096.41,4076.41,4106.15,4105.64,4110.77,4139.49,4105.64,4095.38,4135.9,4152.31,4236.41,4137.44,0
11_55_49,45,4061.03,4037.95,4097.44,4077.95,4092.82,4106.67,4107.69,4145.13,4113.33,4106.15,4138.97,4151.79,4232.82,4141.54,0
11_55_49,46,4059.49,4035.38,4095.9,4075.38,4083.08,4106.67,4107.18,4134.36,4106.67,4109.23,4138.46,4151.28,4234.36,4138.97,0
11_55_49,47,4063.59,4038.97,4095.9,4078.46,4091.28,4101.54,4110.26,4140.51,4105.13,4108.72,4142.05,4154.87,4235.38,4142.05,0
11_55_49,48,4068.72,4045.64,4099.49,4083.59,4094.87,4096.92,4108.72,4156.92,4107.18,4106.15,4142.05,4156.92,4233.85,4143.59,0
11_55_49,49,4066.15,4044.62,4102.05,4082.05,4092.31,4097.44,4107.18,4158.97,4106.15,4096.92,4137.44,4153.85,4232.31,4138.46,0
11_55_49,50,4063.59,4040,4099.49,4078.46,4093.85,4098.97,4106.67,4156.41,4106.67,4087.18,4137.95,4152.82,4225.64,4137.44,0
11_55_50,51,4065.13,4037.44,4096.92,4077.44,4094.87,4095.38,4097.95,4156.41,4110.26,4090.26,4139.49,4154.87,4218.46,4138.97,0
11_55_50,52,4065.13,4035.38,4097.44,4075.38,4087.69,4090.26,4088.21,4153.33,4106.15,4094.87,4131.79,4147.18,4213.33,4133.33,0
11_55_50,53,4061.54,4036.41,4096.41,4075.9,4080.51,4090.77,4089.23,4150.26,4098.97,4096.41,4130.77,4139.49,4205.13,4128.21,0
11_55_50,54,4060.51,4039.49,4093.85,4077.44,4086.67,4091.79,4095.38,4150.26,4100.51,4102.56,4134.36,4145.13,4205.13,4132.82,0
11_55_50,55,4065.64,4046.15,4094.36,4078.46,4101.54,4090.26,4096.92,4151.79,4103.08,4099.49,4130.26,4152.31,4213.33,4137.95,0
11_55_50,56,4074.36,4050.77,4099.49,4083.08,4100.51,4092.31,4099.49,4154.87,4105.64,4093.33,4130.77,4152.82,4217.44,4137.95,0
11_55_50,57,4078.97,4049.23,4100.51,4087.69,4093.33,4096.41,4105.64,4161.03,4112.31,4102.05,4142.05,4155.38,4214.87,4141.03,0
11_55_50,58,4076.92,4046.67,4097.95,4083.59,4091.79,4094.87,4105.64,4158.97,4109.74,4108.21,4141.03,4153.85,4208.21,4142.56,0
11_55_50,59,4065.64,4039.49,4091.79,4071.79,4082.05,4086.15,4098.46,4148.21,4100.51,4094.87,4126.15,4144.1,4192.82,4131.28,0
11_55_50,60,4058.46,4034.36,4090.77,4068.21,4080,4081.03,4092.82,4145.64,4097.95,4076.92,4120.51,4137.44,4181.03,4126.67,0
11_55_50,61,4066.15,4040.51,4094.87,4074.36,4087.69,4082.56,4091.28,4151.28,4107.18,4078.46,4125.64,4140,4182.56,4133.33,0
11_55_50,62,4067.69,4046.15,4094.87,4075.9,4082.56,4081.03,4089.23,4145.13,4107.69,4093.33,4121.03,4139.49,4176.92,4128.21,0
11_55_50,63,4059.49,4043.08,4090.77,4073.33,4081.54,4079.49,4089.23,4134.36,4091.79,4092.82,4108.72,4130.77,4162.05,4118.46,0
11_55_50,64,4062.56,4042.05,4092.31,4075.38,4089.74,4085.13,4092.82,4135.9,4081.54,4076.92,4109.23,4126.67,4157.44,4118.97,0
11_55_50,65,4071.28,4046.15,4096.92,4075.9,4087.18,4092.82,4094.87,4137.95,4089.23,4070.77,4118.97,4135.9,4160.51,4125.13,0
11_55_50,66,4070.26,4048.21,4097.95,4069.74,4085.64,4093.33,4095.38,4146.15,4101.03,4078.46,4122.56,4142.56,4163.59,4126.67,0
11_55_50,67,4067.18,4046.15,4094.36,4069.74,4090.26,4088.21,4093.85,4156.92,4104.1,4083.59,4121.03,4135.9,4165.64,4124.62,0
11_55_50,68,4066.15,4047.18,4091.79,4074.36,4084.1,4085.64,4088.72,4144.1,4103.08,4095.9,4121.03,4131.79,4167.69,4120.51,0
11_55_50,69,4069.23,4054.87,4094.87,4076.92,4081.54,4088.21,4088.72,4131.79,4104.62,4107.18,4130.77,4137.95,4171.79,4125.13,0
11_55_50,70,4073.85,4061.54,4097.44,4077.95,4091.79,4094.87,4093.33,4136.41,4108.72,4095.38,4141.03,4141.54,4174.87,4130.26,0
11_55_50,71,4073.85,4061.03,4093.85,4078.46,4095.38,4096.92,4093.33,4133.33,4103.59,4081.03,4133.85,4140,4171.28,4123.08,0
11_55_50,72,4072.31,4060.51,4093.33,4077.44,4094.36,4094.36,4092.31,4128.21,4095.38,4084.1,4125.13,4139.49,4168.21,4121.54,0
11_55_50,73,4069.74,4058.97,4093.85,4075.9,4095.9,4097.95,4096.41,4135.38,4100,4088.21,4126.15,4138.97,4165.64,4126.15,0
11_55_50,74,4069.74,4055.38,4091.79,4074.36,4093.33,4100,4096.41,4140.51,4107.69,4085.64,4125.13,4139.49,4157.95,4127.18,0
11_55_50,75,4072.82,4056.92,4091.79,4074.36,4092.31,4094.36,4091.28,4140,4111.79,4088.21,4120.51,4136.92,4152.31,4122.05,0
11_55_50,76,4069.23,4058.97,4092.31,4075.38,4094.87,4097.95,4092.82,4141.03,4108.72,4097.95,4120.51,4128.21,4153.85,4116.92,0
11_55_50,77,4061.03,4058.97,4091.79,4074.87,4090.77,4108.21,4096.92,4140.51,4102.05,4104.1,4121.03,4122.05,4153.85,4116.41,0
11_55_50,78,4062.05,4062.05,4089.74,4075.38,4092.31,4102.05,4093.85,4139.49,4097.95,4095.9,4121.54,4124.62,4149.23,4114.36,0
11_55_50,79,4068.72,4062.05,4090.26,4076.41,4101.54,4092.82,4091.28,4137.44,4098.46,4079.49,4121.54,4130.26,4148.21,4112.31,0
11_55_50,80,4072.31,4065.13,4094.87,4078.97,4103.59,4102.05,4095.38,4137.95,4103.59,4090.26,4122.56,4136.92,4151.28,4118.97,0
11_55_50,81,4076.92,4073.33,4098.97,4081.54,4097.95,4110.26,4101.03,4140.51,4106.15,4107.69,4125.13,4140,4148.72,4126.67,0
11_55_50,82,4073.85,4064.62,4095.38,4077.95,4095.9,4106.67,4104.1,4137.44,4102.05,4086.15,4119.49,4136.41,4135.38,4117.95,0
11_55_50,83,4070.26,4054.36,4096.41,4077.44,4100,4107.69,4107.69,4142.56,4103.59,4066.67,4109.23,4135.9,4127.69,4112.82,0
11_55_50,84,4078.46,4068.21,4099.49,4085.64,4103.08,4107.18,4105.64,4152.31,4109.23,4080.51,4109.74,4141.54,4130.26,4121.54,0
11_55_50,85,4088.21,4085.13,4096.41,4091.79,4096.92,4094.36,4093.85,4136.92,4096.92,4084.1,4108.21,4135.9,4120,4126.67,0
11_55_50,86,4088.72,4087.69,4094.87,4087.69,4091.79,4087.69,4087.18,4116.41,4084.62,4067.69,4096.92,4124.62,4101.54,4122.05,0
11_55_50,87,4084.62,4090.26,4097.95,4084.62,4097.95,4090.26,4089.74,4117.44,4083.08,4056.92,4092.82,4121.03,4091.79,4112.82,0
11_55_50,88,4078.97,4091.28,4094.87,4081.54,4094.36,4090.26,4090.77,4121.03,4082.05,4055.38,4094.87,4118.46,4091.28,4106.67,0
11_55_50,89,4080,4085.64,4093.33,4078.46,4081.54,4093.85,4092.82,4121.03,4093.85,4067.18,4094.87,4115.9,4091.79,4109.23,0
11_55_50,90,4087.18,4088.21,4098.46,4085.64,4095.9,4105.13,4101.54,4125.64,4106.15,4075.9,4090.26,4120,4085.64,4112.31,0
11_55_50,91,4088.21,4091.79,4097.44,4091.28,4110.26,4109.74,4108.21,4132.82,4096.92,4065.64,4089.23,4125.13,4075.9,4113.33,0
