TIME, ED_COUNTER, AF3, F7, F3, FC5, T7, P7, O1, O2, P8, T8, FC6, F4, F8, AF4, LABEL
11_58_3,119,4082.56,4092.31,4088.72,4089.23,4094.36,4091.79,4091.79,4092.31,4107.18,4093.33,4134.36,4123.08,4091.28,4085.13,0
11_58_3,120,4076.41,4083.59,4085.64,4090.26,4098.97,4086.15,4092.31,4090.77,4092.31,4081.54,4124.1,4116.92,4084.62,4076.41,0
11_58_3,121,4072.82,4077.95,4082.05,4091.28,4103.59,4079.49,4092.31,4081.03,4087.18,4078.97,4119.49,4107.18,4074.87,4071.28,0
11_58_3,122,4070.26,4082.56,4084.1,4083.59,4099.49,4081.54,4088.72,4075.9,4093.33,4090.77,4120.51,4105.13,4072.82,4072.31,0
11_58_3,123,4074.87,4082.05,4089.74,4082.05,4093.33,4084.1,4090.26,4090.77,4098.97,4092.82,4125.13,4107.69,4079.49,4074.87,0
11_58_3,124,4076.41,4076.92,4089.23,4087.18,4091.79,4086.15,4092.82,4102.56,4103.59,4084.1,4130.26,4108.21,4081.54,4075.38,0
11_58_3,125,4078.97,4084.1,4089.23,4086.67,4092.82,4086.67,4091.28,4099.49,4106.15,4077.95,4128.21,4108.72,4081.54,4080.51,0
11_58_3,126,4090.77,4096.92,4094.87,4089.23,4095.38,4084.62,4090.26,4104.1,4105.64,4078.46,4126.15,4111.79,4086.15,4090.26,0
11_58_3,127,4091.28,4089.74,4095.9,4090.77,4092.82,4081.03,4092.82,4110.77,4105.64,4082.56,4131.28,4113.33,4084.1,4091.28,0
11_58_3,128,4076.92,4074.87,4090.77,4083.59,4088.21,4082.05,4090.26,4102.56,4108.72,4084.1,4134.36,4109.74,4076.92,4081.54,0
11_58_3,0,4074.36,4076.92,4090.26,4083.08,4089.23,4081.03,4085.13,4095.9,4107.69,4087.69,4134.36,4106.15,4077.44,4076.92,0
11_58_3,1,4075.38,4081.03,4089.23,4081.54,4089.74,4073.85,4085.13,4098.46,4097.95,4091.79,4130.26,4105.64,4079.49,4078.97,0
11_58_3,2,4071.79,4075.38,4086.67,4075.9,4090.26,4078.46,4089.74,4094.87,4094.36,4090.77,4127.69,4106.15,4076.41,4076.41,0
11_58_3,3,4074.87,4074.36,4090.77,4084.1,4095.38,4090.77,4093.33,4094.87,4101.03,4086.15,4129.74,4105.64,4077.95,4075.9,0
11_58_3,4,4072.31,4078.46,4092.31,4088.21,4096.92,4088.72,4091.79,4103.59,4100.51,4078.46,4127.69,4102.56,4076.92,4075.38,0
11_58_3,5,4060.51,4075.9,4086.15,4074.87,4092.82,4080,4089.23,4096.41,4091.79,4070.26,4121.03,4096.92,4064.62,4067.18,0
11_58_3,6,4064.1,4073.85,4087.18,4069.74,4091.28,4086.15,4092.82,4082.56,4090.77,4070.77,4118.46,4090.26,4061.54,4064.62,0
11_58_3,7,4074.87,4080,4091.28,4080.51,4091.28,4088.21,4091.28,4085.13,4094.36,4074.36,4130.26,4092.82,4073.33,4072.82,0
