TIME, ED_COUNTER, AF3, F7, F3, FC5, T7, P7, O1, O2, P8, T8, FC6, F4, F8, AF4, LABEL
12_0_10,81,4083.59,4080.51,4100,4083.59,4169.74,4089.74,4185.13,4103.08,4088.21,3967.69,4099.49,4076.92,4058.97,4045.13,0
12_0_10,82,4085.13,4090.26,4105.13,4089.74,4166.15,4091.28,4275.9,4111.28,4084.62,3973.85,4097.44,4082.05,4086.67,4049.74,0
12_0_10,83,4104.1,4100,4109.74,4100,4169.74,4095.38,4300,4124.62,4096.41,3998.46,4110.77,4094.87,4126.15,4063.08,0
12_0_10,84,4106.67,4092.31,4107.18,4093.85,4172.82,4093.33,4244.1,4122.56,4108.72,4004.1,4118.46,4095.9,4147.18,4067.18,0
12_0_10,85,4092.31,4077.44,4101.54,4087.69,4166.67,4083.08,4213.33,4108.21,4094.36,3991.28,4107.69,4090.26,4144.1,4058.46,0
12_0_10,86,4093.33,4074.36,4100.51,4090.26,4163.59,4080.51,4231.28,4105.13,4084.1,3986.67,4102.05,4089.74,4140.51,4054.36,0
12_0_10,87,4104.62,4078.97,4100.51,4092.31,4170.26,4089.74,4222.05,4111.28,4092.82,3984.1,4107.18,4092.31,4143.59,4058.46,0
12_0_10,88,4107.18,4084.62,4100.51,4094.36,4166.15,4091.28,4222.05,4106.15,4089.74,3974.87,4100,4092.31,4141.54,4056.92,0
12_0_10,89,4105.13,4085.13,4099.49,4093.33,4154.36,4084.1,4267.18,4094.36,4076.92,3961.54,4083.59,4083.59,4128.72,4047.18,0
12_0_10,90,4106.67,4084.62,4098.97,4089.23,4160,4083.59,4285.13,4094.87,4083.59,3956.41,4082.56,4078.97,4118.97,4046.15,0
12_0_10,91,4113.85,4088.72,4104.62,4090.77,4171.79,4090.26,4283.08,4107.18,4094.87,3966.67,4093.85,4091.28,4120.51,4056.41,0
12_0_10,92,4122.05,4095.38,4108.21,4102.56,4170.26,4098.97,4300,4113.33,4093.33,3977.95,4100.51,4105.64,4123.59,4063.08,0
12_0_10,93,4124.62,4092.82,4105.64,4107.18,4168.72,4103.08,4276.41,4110.26,4091.79,3976.41,4109.23,4108.21,4126.15,4065.13,0
12_0_10,94,4120.51,4084.1,4103.08,4093.85,4167.18,4093.85,4229.74,4106.15,4090.77,3971.79,4114.87,4105.13,4128.21,4065.64,0
12_0_10,95,4112.31,4082.05,4102.05,4086.15,4158.97,4088.21,4230.26,4105.64,4090.77,3973.33,4109.23,4096.41,4120.51,4062.05,0
