TIME, ED_COUNTER, AF3, F7, F3, FC5, T7, P7, O1, O2, P8, T8, FC6, F4, F8, AF4, LABEL
12_2_4,54,4133.85,4075.9,4113.85,4094.36,4098.46,4100.51,4106.15,4126.67,4108.21,4126.15,4164.62,4124.62,4170.26,4162.05,0
12_2_4,55,4134.36,4077.95,4115.38,4093.85,4100,4102.05,4107.18,4129.74,4105.13,4141.03,4157.95,4125.13,4162.05,4156.41,0
12_2_4,56,4134.36,4079.49,4115.38,4096.41,4104.62,4107.69,4106.67,4122.05,4107.69,4152.31,4156.41,4128.72,4155.38,4157.44,0
12_2_4,57,4126.15,4069.74,4114.36,4093.33,4108.21,4110.26,4106.67,4117.95,4110.26,4129.23,4154.36,4126.67,4144.1,4150.77,0
12_2_4,58,4115.9,4060.51,4112.31,4084.1,4107.18,4105.64,4106.15,4123.59,4096.41,4109.23,4127.69,4117.44,4129.74,4137.95,0
12_2_4,59,4114.36,4064.1,4111.79,4083.08,4107.18,4099.49,4103.08,4123.59,4094.36,4133.85,4096.92,4110.26,4121.54,4130.26,0
12_2_4,60,4127.69,4075.9,4114.87,4090.26,4116.92,4100,4108.72,4131.79,4118.46,4164.62,4104.1,4117.95,4128.72,4139.49,0
12_2_4,61,4140,4086.67,4120,4100.51,4119.49,4110.26,4123.59,4149.23,4123.08,4161.54,4116.41,4130.77,4136.41,4150.77,0
12_2_4,62,4137.44,4086.15,4117.95,4103.08,4106.67,4113.85,4124.62,4149.23,4105.64,4149.74,4093.33,4123.59,4132.31,4145.13,0
12_2_4,63,4129.23,4081.03,4112.82,4094.87,4103.59,4109.23,4115.38,4141.03,4103.08,4149.74,4069.23,4111.28,4121.03,4135.9,0
12_2_4,64,4127.18,4080.51,4112.82,4089.23,4107.69,4111.79,4117.95,4137.44,4110.26,4154.36,4065.64,4108.72,4120,4137.44,0
12_2_4,65,4125.13,4078.46,4113.85,4087.69,4103.08,4114.87,4122.56,4129.23,4110.77,4162.05,4065.64,4110.26,4126.67,4136.92,0
12_2_4,66,4117.95,4070.77,4111.28,4080.51,4100,4110.77,4115.9,4127.18,4109.23,4167.18,4056.92,4109.23,4116.92,4124.1,0
12_2_4,67,4111.28,4069.74,4108.72,4079.49,4104.1,4105.13,4107.18,4135.38,4106.15,4168.21,4036.92,4101.03,4103.59,4113.85,0
12_2_4,68,4115.38,4082.56,4107.18,4088.72,4112.31,4107.69,4105.64,4130.26,4107.69,4171.79,4024.1,4095.9,4104.62,4114.87,0
12_2_4,69,4125.64,4091.79,4109.74,4093.85,4124.62,4109.74,4104.62,4121.54,4109.23,4174.36,4030.26,4102.56,4107.69,4119.49,0
12_2_4,70,4133.33,4095.9,4116.92,4097.44,4128.72,4109.74,4106.15,4130.26,4105.64,4175.9,4041.03,4109.23,4108.72,4127.69,0
12_2_4,71,4136.92,4098.46,4117.95,4098.97,4117.95,4117.95,4114.36,4141.54,4115.38,4188.21,4045.64,4108.21,4118.46,4136.92,0
12_2_4,72,4139.49,4097.95,4116.41,4100,4112.31,4121.54,4123.08,4143.59,4122.56,4197.95,4040.51,4108.72,4125.64,4138.46,0
12_2_4,73,4135.38,4095.38,4116.92,4101.54,4112.82,4112.31,4118.46,4130.77,4103.08,4190.77,4028.72,4105.13,4119.49,4128.21,0
12_2_4,74,4122.05,4090.26,4112.82,4089.74,4107.18,4103.59,4097.44,4101.54,4083.59,4173.85,4017.95,4088.72,4117.95,4114.36,0
12_2_4,75,4109.23,4082.56,4106.67,4077.44,4103.08,4103.08,4088.72,4091.28,4085.13,4164.62,4012.82,4076.41,4130.26,4106.15,0
12_2_4,76,4109.74,4081.03,4105.64,4078.97,4109.23,4104.1,4100.51,4105.13,4092.82,4175.9,4013.33,4080,4145.64,4103.59,0
12_2_4,77,4119.49,4090.77,4108.21,4084.62,4113.85,4107.69,4105.64,4109.23,4096.92,4192.31,4018.46,4086.67,4159.49,4106.67,0
12_2_4,78,4121.03,4093.33,4109.23,4085.13,4112.31,4110.26,4100.51,4105.13,4094.36,4192.82,4024.1,4083.08,4172.31,4107.18,0
12_2_4,79,4118.46,4090.26,4107.69,4089.74,4119.49,4105.64,4104.62,4114.87,4091.28,4183.59,4028.21,4083.08,4180,4105.64,0
12_2_4,80,4121.54,4096.92,4107.69,4093.85,4123.59,4102.56,4107.69,4118.97,4091.28,4175.9,4033.33,4090.26,4177.44,4105.13,0
12_2_4,81,4122.56,4094.36,4106.15,4089.23,4116.92,4106.15,4097.44,4098.46,4084.1,4171.28,4039.49,4089.74,4176.92,4103.08,0
12_2_4,82,4122.56,4088.72,4109.23,4093.33,4112.82,4110.26,4095.9,4090.26,4081.54,4168.72,4047.69,4089.74,4187.18,4105.64,0
12_2_4,83,4124.62,4097.95,4112.31,4097.95,4106.67,4109.23,4100.51,4108.72,4095.38,4170.77,4049.23,4090.77,4188.72,4107.69,0
12_2_4,84,4121.03,4103.59,4106.15,4090.26,4104.1,4106.67,4095.38,4111.79,4100.51,4173.85,4042.05,4080,4176.41,4099.49,0
12_2_4,85,4111.79,4090.26,4098.46,4079.49,4114.36,4103.59,4090.26,4088.21,4087.18,4167.69,4042.56,4073.33,4165.64,4087.69,0
12_2_4,86,4100.51,4071.28,4092.82,4071.79,4107.69,4096.41,4091.79,4086.67,4091.79,4158.46,4047.18,4074.36,4158.97,4081.03,0
12_2_4,87,4091.28,4065.13,4089.74,4069.23,4089.74,4091.79,4093.85,4111.28,4104.62,4153.33,4044.1,4068.21,4152.82,4075.38,0
12_2_4,88,4096.92,4077.44,4093.85,4074.87,4097.44,4092.82,4089.23,4104.62,4090.26,4143.08,4042.05,4061.54,4152.31,4075.38,0
12_2_4,89,4105.13,4086.67,4097.95,4082.05,4106.15,4095.38,4086.15,4081.54,4076.41,4125.13,4046.15,4061.03,4153.33,4078.46,0
12_2_4,90,4098.97,4078.97,4095.38,4080.51,4101.54,4101.54,4092.31,4096.41,4090.26,4118.97,4051.28,4064.62,4151.79,4076.41,0
12_2_4,91,4095.38,4073.85,4095.9,4076.92,4105.64,4101.54,4095.9,4110.26,4095.38,4122.56,4057.44,4068.72,4150.26,4077.95,0
12_2_4,92,4104.1,4079.49,4097.95,4076.92,4104.62,4092.82,4088.21,4091.28,4085.64,4126.15,4060.51,4067.69,4149.23,4083.08,0
12_2_4,93,4108.21,4077.95,4096.92,4076.92,4095.9,4091.28,4086.15,4082.56,4093.33,4136.92,4057.95,4069.23,4152.82,4082.56,0
12_2_4,94,4102.56,4074.36,4099.49,4077.44,4099.49,4092.82,4090.26,4097.95,4099.49,4133.33,4057.44,4074.87,4155.38,4078.97,0
12_2_4,95,4096.41,4074.87,4098.46,4075.9,4107.18,4093.33,4090.26,4106.67,4089.23,4109.74,4058.97,4071.28,4148.21,4075.9,0
12_2_4,96,4092.82,4072.82,4091.79,4075.38,4105.13,4102.05,4097.44,4106.15,4088.72,4104.1,4058.97,4064.62,4145.13,4073.85,0
12_2_4,97,4096.92,4071.79,4092.82,4074.36,4104.1,4109.74,4102.05,4109.74,4097.95,4114.36,4056.41,4069.23,4152.82,4074.87,0
12_2_4,98,4102.56,4078.46,4098.97,4076.92,4107.69,4107.18,4098.97,4111.79,4100,4105.13,4057.95,4075.38,4152.31,4077.44,0
12_2_4,99,4105.13,4083.59,4103.59,4086.67,4109.23,4107.69,4097.95,4109.74,4095.9,4090.26,4063.08,4076.41,4142.05,4075.9,0
12_2_4,100,4108.21,4083.08,4104.62,4092.31,4108.21,4106.67,4094.36,4107.18,4093.33,4090.77,4068.21,4076.41,4137.95,4075.9,0
12_2_4,101,4111.28,4085.13,4103.08,4091.28,4108.21,4096.92,4088.72,4102.05,4090.26,4085.13,4072.82,4076.41,4141.54,4082.05,0
12_2_4,102,4111.79,4091.28,4101.03,4092.82,4109.74,4093.33,4086.67,4093.33,4091.79,4082.56,4076.41,4075.9,4140,4083.59,0
12_2_4,103,4112.82,4090.26,4102.05,4092.31,4107.69,4092.31,4089.74,4089.74,4095.38,4090.77,4077.44,4074.87,4127.69,4077.95,0
12_2_4,104,4118.97,4089.23,4104.1,4090.77,4107.18,4091.28,4091.79,4094.87,4089.74,4086.67,4079.49,4075.38,4118.97,4074.36,0
12_2_4,105,4125.13,4094.36,4104.1,4090.77,4107.69,4099.49,4090.26,4092.82,4080.51,4076.92,4079.49,4075.9,4121.03,4076.41,0
12_2_4,106,4123.59,4093.33,4104.62,4088.21,4103.59,4105.64,4090.26,4090.26,4085.13,4072.82,4078.97,4074.87,4125.13,4076.92,0
12_2_4,107,4124.1,4091.79,4106.67,4088.72,4106.15,4100.51,4095.9,4092.31,4092.82,4064.62,4086.67,4075.38,4123.59,4080.51,0
12_2_4,108,4131.79,4095.9,4107.69,4095.9,4110.77,4095.9,4098.97,4091.28,4087.18,4064.1,4093.85,4076.92,4121.54,4089.74,0
12_2_4,109,4135.38,4094.36,4105.13,4091.28,4103.59,4093.85,4090.77,4094.36,4089.74,4080.51,4091.79,4075.38,4121.03,4090.26,0
12_2_4,110,4133.33,4089.74,4103.59,4083.59,4096.92,4088.72,4087.69,4090.77,4093.33,4079.49,4090.26,4073.85,4120,4084.62,0
12_2_4,111,4130.26,4091.28,4106.67,4087.69,4100.51,4088.72,4089.74,4071.79,4076.41,4063.08,4094.87,4075.38,4120,4087.69,0
12_2_4,112,4130.26,4091.79,4107.18,4092.82,4106.67,4093.85,4089.23,4068.21,4066.67,4057.44,4100.51,4074.36,4123.08,4092.31,0
12_2_4,113,4134.87,4090.77,4106.67,4092.82,4112.31,4096.92,4089.74,4087.69,4076.41,4063.08,4106.67,4078.46,4134.36,4091.79,0
12_2_4,114,4138.97,4092.82,4110.26,4094.87,4122.56,4101.03,4092.82,4096.41,4082.05,4069.74,4115.9,4089.74,4142.56,4095.38,0
12_2_4,115,4138.97,4096.41,4112.82,4096.92,4124.62,4106.67,4094.87,4090.26,4080,4072.82,4123.59,4095.38,4141.54,4104.62,0
12_2_4,116,4138.97,4095.38,4111.28,4094.87,4109.23,4107.18,4097.44,4093.33,4086.15,4082.05,4121.54,4093.33,4141.03,4107.18,0
12_2_4,117,4140,4090.77,4111.79,4096.92,4103.08,4105.64,4101.03,4115.38,4097.44,4092.82,4109.23,4092.82,4141.03,4103.59,0
12_2_4,118,4137.44,4090.26,4110.77,4098.97,4111.79,4103.59,4095.9,4122.56,4092.31,4077.44,4101.03,4091.28,4138.97,4099.49,0
12_2_4,119,4129.74,4084.62,4102.05,4089.74,4107.18,4095.9,4085.13,4093.85,4073.85,4052.82,4095.38,4080.51,4130.77,4092.82,0
