TIME, ED_COUNTER, AF3, F7, F3, FC5, T7, P7, O1, O2, P8, T8, FC6, F4, F8, AF4, LABEL
12_6_34,110,4092.31,3996.41,4086.67,4036.92,4072.31,4097.44,4089.74,4091.28,4085.13,3977.44,4085.64,4042.05,4050.26,4134.36,0
12_6_34,111,4089.23,4002.05,4088.72,4045.13,4076.92,4101.54,4085.64,4098.97,4096.41,3982.05,4073.85,4042.56,4044.62,4134.36,0
12_6_34,112,4093.33,4006.67,4088.72,4044.62,4078.46,4101.03,4075.38,4099.49,4101.54,3993.33,4060.51,4046.67,4052.31,4142.05,0
12_6_34,113,4090.77,4005.13,4086.67,4038.97,4073.33,4091.79,4067.18,4096.41,4094.36,3980,4040,4042.05,4043.59,4137.95,0
12_6_34,114,4087.69,4008.72,4089.23,4043.08,4072.31,4093.33,4070.26,4097.95,4104.62,3976.41,4033.33,4042.05,4031.79,4133.85,0
12_6_34,115,4093.33,4012.82,4093.85,4046.67,4076.92,4100,4068.21,4097.44,4111.28,3992.82,4043.59,4050.26,4037.95,4139.49,0
12_6_34,116,4094.36,4005.64,4092.82,4043.59,4076.41,4096.92,4058.46,4091.79,4094.36,3986.67,4043.08,4047.69,4040,4137.44,0
12_6_34,117,4089.23,3997.95,4088.21,4042.56,4067.69,4090.77,4055.38,4088.21,4086.15,3970.77,4034.36,4038.97,4023.08,4126.15,0
12_6_34,118,4093.33,4007.18,4090.26,4044.1,4064.1,4090.77,4059.49,4092.82,4090.77,3971.79,4045.64,4045.64,4015.9,4130.26,0
12_6_34,119,4108.72,4023.59,4097.95,4053.33,4070.77,4092.31,4058.97,4095.38,4096.92,3976.41,4063.08,4060,4036.41,4150.26,0
12_6_34,120,4113.85,4023.08,4097.44,4059.49,4071.28,4093.85,4051.28,4092.82,4102.05,3977.44,4063.59,4059.49,4050.77,4157.95,0
12_6_34,121,4098.46,4006.15,4088.72,4049.23,4061.03,4091.79,4040.51,4091.79,4089.23,3965.13,4048.21,4044.1,4028.21,4140,0
12_6_34,122,4086.67,4000,4086.67,4040,4054.36,4086.67,4030.77,4094.36,4074.87,3943.59,4035.38,4030.77,3997.95,4121.03,0
12_6_34,123,4092.82,4007.18,4091.79,4042.56,4065.13,4092.31,4031.28,4093.33,4087.18,3948.21,4037.95,4032.31,3994.87,4119.49,0
12_6_34,124,4098.46,4005.13,4092.82,4044.1,4074.87,4107.18,4035.9,4092.31,4098.46,3961.03,4045.13,4035.9,3996.41,4123.59,0
12_6_34,125,4094.36,4004.62,4088.72,4044.1,4066.15,4106.67,4028.72,4094.87,4087.69,3954.36,4048.21,4031.28,3991.79,4124.62,0
12_6_34,126,4096.92,4014.87,4089.74,4046.67,4056.41,4090.77,4015.38,4095.38,4086.15,3955.38,4050.77,4034.36,3999.49,4122.56,0
12_6_34,127,4105.64,4022.05,4093.33,4047.18,4060.51,4086.67,4014.87,4096.92,4102.05,3967.69,4062.05,4045.64,4012.82,4122.05,0
12_6_34,128,4107.69,4024.1,4095.38,4054.87,4067.18,4099.49,4022.05,4095.9,4107.18,3963.08,4070.26,4046.15,4013.85,4128.72,0
12_6_34,0,4107.18,4028.72,4094.36,4061.54,4062.56,4103.08,4015.9,4091.28,4097.95,3957.95,4068.21,4041.03,4009.74,4134.87,0
12_6_34,1,4104.1,4026.15,4092.31,4054.36,4052.82,4091.28,4004.62,4090.77,4090.26,3961.03,4061.54,4037.44,4006.15,4126.15,0
12_6_34,2,4094.87,4015.38,4090.26,4046.67,4046.15,4086.67,4004.62,4094.36,4088.72,3950.26,4057.95,4026.15,3995.38,4112.31,0
12_6_34,3,4089.74,4015.9,4092.31,4046.67,4043.08,4094.87,4008.72,4092.82,4090.77,3945.64,4056.41,4021.54,3987.18,4107.69,0
12_6_34,4,4092.31,4017.95,4093.33,4044.1,4029.74,4092.31,4006.15,4090.77,4093.33,3953.85,4052.82,4027.69,3989.74,4108.72,0
12_6_34,5,4091.79,4008.72,4088.72,4042.05,4016.41,4085.13,4002.56,4093.33,4090.77,3948.21,4048.72,4026.67,3990.77,4105.64,0
12_6_34,6,4089.23,4009.23,4088.72,4046.67,4020.51,4089.74,4005.13,4094.87,4091.28,3938.97,4052.82,4023.59,3983.59,4105.13,0
12_6_34,7,4090.26,4021.54,4089.74,4047.69,4024.62,4092.82,4008.21,4096.92,4103.59,3944.1,4060,4028.72,3979.49,4106.67,0
12_6_34,8,4091.79,4023.59,4090.26,4042.56,4020.51,4090.77,4007.18,4094.87,4103.59,3947.18,4057.95,4030.77,3985.64,4106.67,0
12_6_34,9,4093.33,4020,4092.31,4043.08,4020,4093.85,4002.56,4090.77,4090.77,3941.54,4056.92,4031.28,3991.28,4104.62,0
12_6_34,10,4100.51,4022.05,4096.41,4049.23,4019.49,4090.77,4003.08,4092.82,4098.97,3943.08,4072.31,4037.44,4000.51,4108.72,0
12_6_34,11,4103.08,4020,4095.38,4046.67,4014.36,4082.56,3999.49,4095.9,4109.23,3931.28,4078.97,4038.46,4017.95,4111.79,0
12_6_34,12,4101.54,4018.46,4094.36,4042.56,4012.31,4084.1,3991.79,4094.36,4092.82,3889.23,4061.03,4033.85,4036.92,4105.13,0
12_6_34,13,4105.13,4026.67,4097.44,4047.18,4014.87,4092.82,3995.38,4092.82,4087.69,3855.38,4056.92,4036.41,4056.41,4107.18,0
12_6_34,14,4109.23,4033.33,4097.95,4048.72,4011.79,4095.38,4008.21,4094.36,4104.1,3852.82,4071.79,4042.05,4074.36,4114.36,0
12_6_34,15,4106.67,4029.23,4093.33,4044.1,4007.18,4094.36,4008.21,4093.33,4104.62,3853.85,4077.44,4044.62,4078.46,4112.82,0
12_6_34,16,4101.03,4021.54,4091.28,4042.56,4009.23,4091.28,3996.41,4091.28,4093.85,3846.15,4074.87,4045.13,4070.26,4107.18,0
12_6_34,17,4093.85,4020.51,4090.26,4044.1,4010.77,4089.23,3991.28,4091.79,4091.79,3851.79,4073.85,4043.59,4065.64,4100.51,0
12_6_34,18,4090.77,4025.64,4087.69,4043.08,4006.15,4092.31,3993.85,4095.9,4094.87,3866.67,4077.95,4042.56,4065.13,4095.9,0
12_6_34,19,4094.36,4024.62,4088.72,4038.46,4002.56,4092.82,3992.82,4097.44,4103.59,3876.92,4091.28,4051.28,4060.51,4101.03,0
12_6_34,20,4097.95,4023.08,4090.77,4033.33,4001.03,4083.08,3985.64,4096.41,4108.72,3887.69,4108.21,4064.1,4064.1,4108.72,0
12_6_34,21,4097.44,4025.13,4086.67,4030.26,3993.33,4078.46,3975.9,4097.95,4095.9,3890.77,4112.82,4060,4069.74,4105.13,0
12_6_34,22,4090.77,4016.41,4082.05,4028.21,3988.72,4083.59,3972.31,4095.38,4081.03,3880.51,4101.54,4042.05,4058.46,4090.26,0
12_6_34,23,4082.56,4008.21,4082.05,4027.18,3989.23,4082.56,3968.72,4091.79,4080.51,3869.23,4090.77,4033.85,4042.05,4076.41,0
12_6_34,24,4082.05,4016.41,4083.08,4027.18,3987.69,4080,3960,4094.36,4084.1,3865.13,4088.21,4034.87,4034.87,4073.33,0
12_6_34,25,4079.49,4016.92,4079.49,4023.08,3983.59,4085.64,3953.85,4096.41,4081.54,3860,4080.51,4028.72,4022.56,4067.18,0
12_6_34,26,4072.31,4003.08,4079.49,4015.9,3977.95,4087.18,3959.49,4091.79,4078.97,3860,4072.82,4022.56,4008.72,4057.95,0
12_6_34,27,4076.92,4001.54,4085.13,4016.41,3971.28,4078.97,3963.08,4089.74,4088.72,3880.51,4087.69,4032.31,4016.41,4065.13,0
12_6_34,28,4087.69,4010.77,4086.67,4019.49,3960,4071.28,3958.46,4093.33,4097.44,3900,4106.67,4045.13,4028.72,4078.97,0
12_6_34,29,4091.79,4014.36,4085.64,4020.51,3951.79,4069.74,3964.1,4094.87,4091.28,3898.97,4112.82,4047.18,4032.82,4081.03,0
12_6_34,30,4092.82,4017.95,4092.31,4025.64,3956.92,4075.9,3978.46,4096.41,4089.74,3893.85,4113.33,4044.1,4039.49,4082.56,0
12_6_34,31,4092.82,4022.05,4095.38,4029.23,3961.03,4077.95,3979.49,4097.95,4089.23,3886.15,4105.13,4035.9,4031.79,4077.44,0
12_6_34,32,4091.79,4021.54,4088.72,4023.08,3959.49,4075.38,3971.28,4097.95,4077.44,3867.18,4092.31,4024.62,4007.69,4066.67,0
12_6_34,33,4091.28,4022.05,4085.64,4018.97,3966.67,4075.38,3971.79,4099.49,4073.85,3860.51,4089.23,4021.54,4000.51,4066.67,0
12_6_34,34,4085.13,4021.03,4086.15,4021.03,3972.82,4073.33,3974.87,4098.46,4084.62,3870.77,4086.15,4021.03,4001.03,4065.13,0
12_6_34,35,4077.44,4014.87,4085.13,4016.92,3964.1,4063.08,3967.69,4094.87,4089.74,3876.41,4082.05,4018.97,3988.72,4054.36,0
12_6_34,35,4077.44,4014.87,4085.13,4016.92,3964.1,4063.08,3967.69,4094.87,4089.74,3876.41,4082.05,4018.97,3988.72,4054.36,0
12_6_34,36,4082.05,4013.33,4084.62,4011.79,3958.46,4056.92,3962.05,4096.92,4091.28,3883.59,4094.36,4023.59,3990.77,4055.9,0
12_6_34,37,4077.44,4018.46,4084.1,4015.38,3956.92,4057.95,3965.64,4101.54,4089.74,3896.92,4114.87,4030.77,4005.64,4067.69,0
12_6_34,38,4052.31,4020,4084.62,4019.49,3955.9,4059.49,3969.74,4097.95,4082.56,3906.67,4123.08,4032.31,4006.67,4073.33,0
12_6_34,39,4033.85,4025.13,4086.15,4020,3963.59,4058.97,3969.23,4096.41,4084.1,3911.79,4126.67,4033.85,4006.15,4076.92,0
12_6_34,40,4027.18,4033.33,4087.18,4018.97,3974.87,4060,3967.18,4100,4093.33,3912.82,4120,4032.31,4009.74,4073.85,0
12_6_34,41,4016.41,4036.92,4088.21,4021.54,3975.9,4069.23,3974.36,4098.97,4095.9,3910.26,4106.15,4026.67,4000,4063.59,0
12_6_34,42,4002.56,4041.03,4090.26,4027.18,3973.85,4074.87,3980.51,4095.38,4093.33,3908.21,4108.72,4028.21,3990.26,4061.54,0
12_6_34,43,3992.31,4041.03,4087.69,4026.15,3976.41,4064.62,3971.79,4096.92,4091.28,3911.28,4117.95,4030.26,3990.26,4063.59,0
12_6_34,44,3978.97,4034.87,4087.18,4021.03,3979.49,4060,3966.15,4098.97,4092.82,3920.51,4114.87,4030.77,3981.54,4057.95,0
12_6_34,45,3943.08,4038.97,4088.21,4022.05,3978.97,4067.18,3972.31,4096.41,4098.46,3928.21,4117.95,4038.97,3970.77,4056.41,0
12_6_34,46,3892.82,4047.18,4086.15,4023.59,3975.38,4066.67,3970.77,4092.31,4096.41,3924.62,4131.79,4045.13,3976.41,4063.08,0
12_6_34,47,3865.64,4042.56,4087.69,4018.97,3975.9,4065.64,3954.87,4092.82,4092.82,3926.67,4140.51,4043.08,3984.1,4066.67,0
12_6_34,48,3865.13,4039.49,4092.31,4018.97,3987.69,4077.95,3935.9,4095.38,4098.97,3943.08,4149.74,4046.67,3986.67,4071.79,0
12_6_34,49,3862.05,4044.1,4090.77,4023.59,3997.95,4080,3910.77,4092.82,4106.15,3954.36,4158.97,4050.77,3990.77,4071.28,0
12_6_34,50,3857.95,4046.67,4089.23,4018.97,3997.44,4067.18,3880.51,4092.31,4108.21,3956.92,4156.41,4046.67,3989.74,4060,0
12_6_34,51,3860.51,4048.21,4091.28,4009.23,3997.44,4067.18,3858.46,4096.41,4111.79,3960.51,4147.69,4044.62,3992.82,4057.95,0
12_6_34,52,3858.97,4048.21,4089.23,4009.23,3997.44,4077.44,3848.21,4096.92,4110.26,3961.03,4146.15,4044.62,4000.51,4059.49,0
12_6_34,53,3857.44,4046.15,4085.13,4002.05,3992.31,4073.33,3845.13,4095.38,4099.49,3957.44,4154.36,4044.1,3997.95,4052.31,0
12_6_34,54,3859.49,4046.67,4087.18,3991.28,3992.31,4061.54,3839.49,4096.41,4093.85,3954.87,4145.64,4041.03,4000.51,4047.69,0
12_6_34,55,3860,4047.18,4085.64,3991.28,3995.9,4061.03,3830.77,4097.95,4096.92,3949.23,4122.05,4036.92,4004.62,4047.69,0
12_6_34,56,3860.51,4043.59,4083.08,3991.28,3992.31,4064.62,3826.67,4094.36,4093.33,3935.9,4116.41,4035.9,3992.82,4044.1,0
12_6_34,57,3861.03,4041.03,4086.67,3989.23,3987.69,4062.56,3828.72,4091.28,4084.62,3926.67,4125.13,4036.41,3984.1,4044.1,0
12_6_34,58,3866.67,4046.15,4090.26,3995.9,3992.31,4061.03,3831.28,4091.28,4090.77,3931.79,4124.1,4036.92,3991.28,4047.69,0
12_6_34,59,3874.87,4055.38,4089.23,4005.13,3997.95,4061.03,3829.23,4093.85,4103.59,3942.56,4126.15,4040.51,3990.77,4047.18,0
12_6_34,60,3877.44,4059.49,4091.28,4010.26,4004.1,4064.1,3833.33,4096.41,4103.08,3952.31,4141.54,4045.64,3987.18,4050.77,0
12_6_34,61,3883.59,4064.1,4096.41,4019.49,4011.28,4067.69,3846.15,4095.38,4097.95,3943.59,4154.87,4049.23,3996.92,4059.49,0
12_6_34,62,3889.23,4068.21,4091.79,4024.62,4009.74,4064.1,3847.69,4096.92,4096.92,3904.1,4151.79,4049.23,3998.97,4057.95,0
12_6_34,63,3884.1,4063.08,4086.67,4021.03,4004.62,4057.44,3833.85,4098.46,4094.87,3860.51,4139.49,4045.13,3989.23,4044.62,0
12_6_34,64,3879.49,4057.44,4087.18,4015.38,4004.62,4058.97,3834.36,4097.95,4096.92,3841.54,4137.44,4046.67,3984.62,4041.03,0
12_6_34,65,3883.08,4058.97,4086.67,4014.87,4007.18,4063.59,3846.15,4098.46,4098.46,3829.74,4140.51,4053.33,3990.26,4043.59,0
12_6_34,66,3887.69,4060,4086.15,4021.54,4008.21,4063.08,3845.13,4095.9,4094.36,3802.05,4139.49,4053.85,3991.79,4040,0
12_6_34,67,3891.79,4057.95,4089.74,4026.15,4010.26,4063.59,3842.56,4090.77,4091.79,3774.87,4133.85,4050.77,3978.97,4036.41,0
12_6_34,68,3894.36,4059.49,4088.72,4027.18,4013.33,4066.15,3855.9,4091.28,4092.31,3770.77,4130.77,4049.74,3970.26,4041.03,0
12_6_34,69,3895.38,4061.03,4088.72,4029.23,4013.33,4062.05,3875.9,4093.85,4096.41,3786.15,4146.15,4051.79,3982.56,4044.1,0
12_6_34,70,3902.05,4059.49,4090.77,4032.31,4012.82,4057.44,3889.74,4094.36,4107.18,3799.49,4163.59,4056.92,4002.05,4046.15,0
12_6_34,71,3907.69,4057.95,4091.79,4034.36,4013.85,4060.51,3896.92,4097.44,4108.21,3803.59,4159.49,4053.85,4005.13,4047.18,0
12_6_34,72,3907.18,4062.56,4091.79,4038.46,4013.33,4061.03,3904.1,4100,4096.92,3810.26,4160,4051.28,4002.05,4046.15,0
12_6_34,73,3910.77,4065.13,4093.33,4040.51,4012.31,4053.85,3917.95,4097.95,4095.9,3816.92,4172.31,4057.44,4005.64,4044.1,0
12_6_34,74,3911.28,4054.87,4092.31,4036.41,4011.28,4054.87,3927.18,4097.44,4098.97,3815.38,4172.82,4060,4005.13,4040,0
12_6_34,75,3904.1,4047.18,4087.69,4034.87,4010.26,4062.05,3926.15,4097.95,4092.82,3810.77,4164.62,4057.95,3999.49,4036.92,0
12_6_34,76,3900,4052.82,4086.67,4040,4013.85,4059.49,3930.77,4096.92,4090.77,3811.28,4159.49,4056.41,3992.31,4029.23,0
12_6_34,77,3907.18,4059.49,4090.77,4047.69,4022.56,4053.85,3942.56,4097.44,4093.85,3817.44,4160,4054.36,3991.79,4022.05,0
12_6_34,78,3910.77,4060.51,4092.31,4053.33,4024.62,4057.95,3948.21,4098.46,4096.92,3821.03,4166.67,4054.87,3992.31,4022.56,0
12_6_34,79,3908.21,4061.03,4087.69,4051.28,4018.46,4062.05,3949.74,4096.41,4103.08,3824.1,4175.38,4058.97,3992.31,4024.1,0
12_6_34,80,3914.36,4059.49,4088.72,4045.64,4015.9,4062.05,3954.36,4093.33,4109.23,3835.38,4187.69,4066.15,3999.49,4023.59,0
12_6_34,81,3924.62,4062.05,4093.85,4050.77,4020.51,4067.18,3961.03,4090.26,4111.28,3851.79,4203.59,4074.36,4011.79,4023.08,0
12_6_34,82,3927.69,4066.67,4094.87,4060.51,4027.69,4070.26,3964.62,4093.33,4113.33,3858.46,4203.59,4075.9,4015.9,4025.64,0
12_6_34,83,3925.13,4067.18,4093.85,4062.05,4030.77,4066.67,3965.64,4100.51,4114.36,3855.9,4198.97,4071.79,4012.31,4026.15,0
12_6_34,84,3923.59,4068.21,4092.31,4060.51,4027.69,4063.08,3968.21,4102.05,4108.72,3850.26,4200.51,4069.23,4005.13,4023.08,0
12_6_34,85,3930.77,4074.36,4089.74,4067.18,4026.67,4066.67,3972.31,4096.41,4106.15,3836.41,4197.44,4067.18,3996.41,4021.03,0
12_6_34,86,3940,4076.41,4092.82,4073.33,4032.82,4073.85,3976.41,4092.82,4114.87,3825.13,4197.95,4069.23,3996.92,4025.13,0
12_6_34,87,3946.67,4075.38,4095.9,4075.9,4036.92,4075.9,3983.08,4097.44,4118.97,3824.1,4203.08,4075.38,4006.15,4032.82,0
12_6_34,88,3952.31,4082.05,4094.36,4079.49,4032.31,4072.31,3989.23,4099.49,4107.69,3823.08,4203.59,4075.9,4003.59,4034.36,0
12_6_34,89,3953.85,4090.26,4093.33,4081.03,4027.18,4073.33,3989.74,4097.44,4104.62,3823.59,4200,4074.36,3994.36,4031.79,0
12_6_34,90,3953.85,4091.28,4094.36,4080.51,4028.21,4075.9,3990.26,4096.92,4110.77,3831.28,4206.15,4075.38,3995.9,4030.26,0
12_6_34,91,3955.38,4088.72,4094.87,4085.64,4032.82,4074.36,3994.36,4097.95,4112.31,3840.51,4222.05,4074.36,4008.21,4035.38,0
12_6_34,92,3960.51,4090.77,4096.92,4094.87,4037.95,4077.95,3999.49,4098.46,4119.49,3847.18,4232.82,4077.95,4022.56,4045.13,0
12_6_34,93,3966.15,4097.95,4099.49,4097.44,4039.49,4083.08,4005.64,4097.44,4128.21,3852.82,4234.36,4088.72,4025.64,4050.26,0
12_6_34,94,3967.18,4096.41,4096.92,4091.79,4038.46,4078.46,4005.64,4098.46,4119.49,3849.23,4234.36,4090.26,4015.38,4046.67,0
12_6_34,95,3957.95,4084.1,4090.26,4083.08,4035.38,4071.28,4000.51,4098.97,4106.67,3841.54,4225.13,4079.49,4000,4037.44,0
12_6_34,96,3953.85,4078.46,4088.21,4078.97,4029.23,4074.36,4001.03,4092.82,4105.64,3843.59,4214.36,4071.28,3990.26,4030.77,0
12_6_34,97,3963.08,4081.54,4091.28,4087.18,4025.64,4074.87,4005.13,4091.28,4106.15,3856.92,4221.54,4074.36,3994.36,4033.85,0
12_6_34,98,3969.23,4085.13,4093.85,4090.26,4029.74,4067.69,4004.62,4096.41,4109.23,3871.79,4234.36,4082.05,4004.62,4045.13,0
12_6_34,99,3974.36,4096.41,4097.44,4088.72,4037.44,4068.72,4005.13,4097.44,4116.92,3888.21,4240,4091.28,4016.92,4056.92,0
12_6_34,100,3984.62,4106.67,4101.03,4099.49,4041.03,4077.44,4011.28,4095.9,4122.05,3907.69,4250.26,4100,4029.74,4064.1,0
12_6_34,101,3985.13,4095.9,4099.49,4103.08,4035.9,4077.44,4016.41,4098.46,4124.62,3916.92,4257.44,4099.49,4031.28,4062.56,0
12_6_34,102,3975.9,4081.54,4095.9,4091.28,4028.21,4067.18,4013.33,4099.49,4115.9,3913.85,4252.31,4092.31,4022.56,4058.97,0
