TIME, ED_COUNTER, AF3, F7, F3, FC5, T7, P7, O1, O2, P8, T8, FC6, F4, F8, AF4, LABEL
12_9_4,34,4218.46,4063.08,4147.69,4056.41,3961.03,4042.05,4102.56,4098.46,4053.33,3818.46,3773.33,4108.72,4109.74,4298.46,0
12_9_4,35,4217.44,4055.9,4145.64,4056.92,3958.97,4058.97,4112.82,4098.97,4059.49,3821.03,3771.28,4104.62,4120,4292.31,0
12_9_4,36,4212.31,4055.9,4142.05,4060,3960,4058.46,4093.85,4098.97,4038.97,3816.41,3766.15,4092.31,4145.13,4288.72,0
12_9_4,37,4209.23,4056.41,4142.05,4057.44,3959.49,4046.67,4089.23,4098.46,4030.26,3818.97,3769.23,4094.36,4173.85,4286.67,0
12_9_4,38,4210.77,4045.64,4143.08,4051.79,3955.38,4050.77,4106.15,4097.44,4047.18,3831.79,3783.08,4107.69,4189.74,4287.18,0
12_9_4,39,4211.28,4044.1,4143.59,4050.77,3960,4059.49,4105.13,4097.44,4048.72,3840,3785.13,4109.23,4196.41,4285.13,0
12_9_4,40,4208.72,4052.82,4142.05,4047.18,3967.69,4055.9,4091.79,4098.97,4033.33,3839.49,3786.15,4103.08,4200.51,4282.56,0
12_9_4,41,4203.59,4048.21,4140.51,4042.56,3962.05,4046.15,4088.72,4100,4027.18,3833.85,3788.72,4101.03,4197.44,4278.97,0
12_9_5,42,4201.54,4036.92,4137.95,4043.59,3947.69,4046.67,4092.82,4098.97,4033.85,3834.36,3782.05,4100,4193.33,4272.82,0
12_9_5,43,4201.03,4034.87,4136.41,4041.54,3943.59,4057.95,4098.46,4098.46,4041.54,3843.08,3788.21,4101.54,4195.9,4267.69,0
12_9_5,44,4195.38,4029.23,4136.92,4035.38,3950.77,4061.54,4093.85,4098.97,4045.64,3849.23,3797.95,4100,4194.36,4263.08,0
12_9_5,45,4193.33,4029.74,4137.95,4034.87,3959.49,4057.44,4086.15,4098.97,4041.03,3854.36,3794.36,4095.9,4188.72,4261.03,0
12_9_5,46,4201.54,4034.36,4137.95,4036.41,3962.05,4061.03,4098.46,4098.97,4034.36,3862.56,3799.49,4103.59,4188.21,4266.15,0
12_9_5,47,4198.46,4026.15,4134.87,4032.31,3952.82,4064.1,4110.26,4098.46,4031.28,3861.54,3804.62,4107.18,4182.05,4262.05,0
12_9_5,48,4185.13,4021.54,4128.72,4027.18,3941.54,4055.9,4102.56,4097.44,4028.72,3857.44,3787.69,4093.33,4170.77,4249.23,0
12_9_5,49,4178.97,4019.49,4130.26,4026.67,3937.95,4055.9,4101.03,4096.92,4032.82,3866.67,3777.95,4088.21,4166.15,4241.54,0
12_9_5,50,4174.87,4013.33,4133.85,4034.36,3943.59,4066.15,4105.64,4096.92,4041.54,3873.33,3787.69,4093.85,4165.13,4238.46,0
12_9_5,51,4168.21,4018.46,4130.77,4040,3945.13,4068.21,4102.05,4096.92,4040,3869.74,3784.62,4088.21,4155.38,4231.28,0
12_9_5,52,4165.64,4025.13,4125.13,4031.79,3938.97,4069.23,4105.13,4097.44,4035.38,3871.79,3776.92,4082.05,4143.59,4227.69,0
12_9_5,53,4170.26,4017.95,4128.72,4025.64,3945.13,4073.85,4104.62,4097.95,4038.46,3886.67,3787.18,4089.74,4147.69,4231.28,0
12_9_5,54,4172.82,4017.95,4135.38,4032.31,3956.41,4071.79,4096.92,4097.95,4029.74,3889.74,3798.97,4092.82,4153.85,4237.44,0
12_9_5,55,4175.38,4031.28,4137.95,4038.46,3955.9,4064.1,4097.44,4094.36,4017.44,3885.13,3804.1,4090.77,4151.79,4243.59,0
12_9_5,56,4180,4024.1,4133.85,4035.38,3946.67,4063.08,4105.13,4090.26,4021.54,3886.15,3798.97,4092.82,4143.59,4241.03,0
12_9_5,57,4175.9,4009.23,4126.15,4029.23,3940.51,4072.82,4112.31,4094.87,4029.74,3884.62,3782.56,4089.74,4133.33,4228.72,0
12_9_5,58,4165.64,4014.87,4127.18,4027.18,3942.56,4080,4115.38,4102.05,4032.82,3887.18,3777.95,4078.97,4131.28,4226.15,0
12_9_5,59,4165.64,4014.36,4130.77,4028.72,3947.18,4081.54,4114.87,4096.92,4029.74,3890.26,3785.64,4077.44,4133.33,4230.77,0
12_9_5,60,4173.33,4010.26,4129.74,4025.64,3947.69,4089.74,4117.44,4090.26,4038.97,3897.44,3794.87,4087.69,4131.79,4229.23,0
12_9_5,61,4168.21,4018.46,4129.23,4017.44,3943.08,4091.79,4110.26,4094.36,4044.62,3904.62,3793.33,4088.21,4119.49,4221.54,0
