TIME, ED_COUNTER, AF3, F7, F3, FC5, T7, P7, O1, O2, P8, T8, FC6, F4, F8, AF4, LABEL
12_11_47,100,4071.79,4050.26,4109.23,4073.33,4090.26,4096.92,4078.46,4097.44,4115.9,4104.1,4104.62,4144.62,4181.54,4108.72,0
12_11_47,101,4078.46,4066.15,4109.74,4091.28,4102.05,4095.9,4075.38,4097.44,4120,4103.08,4095.9,4141.03,4171.79,4108.21,0
12_11_47,102,4089.74,4077.95,4112.82,4097.44,4114.36,4094.87,4074.87,4097.44,4122.56,4106.15,4091.28,4139.49,4164.62,4110.26,0
12_11_47,103,4085.64,4074.36,4112.82,4088.72,4110.77,4092.82,4075.38,4097.44,4123.59,4113.33,4094.36,4138.97,4158.97,4108.21,0
12_11_47,104,4077.44,4067.18,4112.31,4089.23,4099.49,4091.28,4076.92,4097.44,4125.13,4114.87,4091.28,4137.95,4153.85,4104.62,0
12_11_47,105,4082.05,4064.1,4111.28,4093.85,4091.79,4093.85,4078.46,4097.44,4123.08,4109.23,4088.21,4137.95,4152.82,4105.64,0
12_11_47,106,4088.21,4067.18,4106.67,4091.28,4093.85,4096.41,4077.95,4097.44,4121.03,4106.67,4091.79,4137.95,4152.82,4107.18,0
12_11_47,107,4089.74,4074.36,4107.69,4088.72,4094.36,4093.85,4077.44,4096.92,4116.41,4103.08,4088.72,4138.97,4151.28,4109.23,0
12_11_47,108,4087.69,4072.82,4109.74,4090.26,4087.18,4091.79,4077.44,4097.44,4109.23,4092.82,4079.49,4134.87,4143.59,4106.67,0
12_11_47,109,4079.49,4064.1,4105.13,4089.23,4088.72,4090.77,4076.41,4097.44,4109.23,4085.64,4072.82,4123.59,4128.72,4098.46,0
12_11_47,110,4077.44,4064.1,4104.62,4087.69,4102.56,4089.74,4073.85,4096.92,4112.31,4091.79,4073.85,4120.51,4125.13,4097.44,0
12_11_47,111,4091.28,4072.31,4111.28,4098.46,4109.23,4091.79,4076.41,4097.44,4118.46,4104.62,4082.05,4132.82,4138.46,4107.18,0
12_11_47,112,4096.92,4079.49,4112.82,4106.67,4100,4095.38,4081.54,4098.97,4128.21,4113.85,4085.64,4140.51,4143.59,4114.36,0
12_11_47,113,4083.59,4075.9,4108.72,4093.85,4089.74,4092.82,4076.92,4098.97,4117.95,4101.54,4069.23,4126.15,4124.1,4104.1,0
12_11_47,114,4074.36,4068.21,4105.13,4083.08,4092.31,4088.21,4065.64,4098.46,4097.95,4074.87,4049.74,4108.72,4103.08,4090.77,0
12_11_47,115,4074.87,4072.31,4105.13,4089.74,4104.1,4089.23,4066.15,4098.97,4103.08,4068.21,4051.28,4107.69,4101.54,4090.26,0
12_11_47,116,4076.92,4075.38,4109.23,4091.79,4107.69,4094.87,4078.97,4100,4111.79,4075.38,4057.95,4110.26,4102.05,4092.82,0
12_11_47,117,4084.1,4073.85,4109.23,4090.77,4101.54,4098.46,4083.08,4100,4107.69,4075.9,4055.9,4107.18,4102.05,4091.79,0
12_11_47,118,4088.21,4075.38,4103.59,4091.79,4090.26,4095.9,4076.92,4098.97,4106.15,4072.31,4056.92,4106.67,4102.05,4091.79,0
12_11_47,119,4080.51,4071.28,4103.59,4082.56,4086.67,4089.23,4070.77,4098.46,4101.54,4074.36,4058.97,4111.28,4100.51,4091.79,0
12_11_47,120,4080,4068.21,4106.67,4081.03,4098.97,4090.26,4068.21,4098.46,4095.38,4074.36,4060.51,4117.95,4101.54,4091.79,0
12_11_47,121,4092.82,4076.41,4109.74,4092.82,4108.21,4094.87,4068.21,4098.97,4105.13,4073.33,4065.64,4124.1,4109.23,4100.51,0
12_11_47,122,4092.82,4075.38,4107.18,4094.87,4097.44,4087.18,4063.59,4098.46,4110.77,4078.46,4063.59,4124.1,4107.69,4103.08,0
12_11_47,123,4081.03,4068.72,4104.62,4088.21,4084.1,4074.36,4057.44,4098.46,4092.31,4077.95,4053.85,4120,4097.44,4091.28,0
12_11_47,123,4081.03,4068.72,4104.62,4088.21,4084.1,4074.36,4057.44,4098.46,4092.31,4077.95,4053.85,4120,4097.44,4091.28,0
