TIME, ED_COUNTER, AF3, F7, F3, FC5, T7, P7, O1, O2, P8, T8, FC6, F4, F8, AF4, LABEL
12_22_45,113,4095.38,4077.44,4108.72,4107.18,4095.9,4082.05,4102.56,4109.23,4094.87,4107.18,4125.13,4125.64,4103.08,4089.74,0
12_22_45,114,4093.33,4068.21,4107.18,4102.05,4092.31,4081.54,4096.41,4100.51,4092.82,4111.79,4121.03,4122.05,4103.08,4086.15,0
12_22_45,115,4100,4076.92,4102.05,4103.59,4094.36,4083.59,4094.36,4090.26,4094.87,4107.18,4116.41,4121.54,4106.15,4082.56,0
12_22_45,116,4094.87,4074.87,4099.49,4097.95,4090.77,4082.05,4092.82,4087.18,4093.85,4098.46,4113.85,4118.46,4107.18,4080,0
12_22_45,117,4091.28,4062.05,4103.59,4094.87,4093.85,4086.15,4097.44,4089.74,4093.33,4100,4115.38,4115.9,4103.59,4075.9,0
12_22_45,118,4102.05,4063.59,4106.67,4102.56,4104.62,4092.82,4105.64,4093.33,4104.1,4105.13,4119.49,4121.03,4107.69,4080.51,0
12_22_45,119,4110.77,4081.03,4108.72,4108.21,4108.72,4093.85,4106.67,4096.41,4117.44,4113.85,4124.62,4130.77,4120,4092.31,0
12_22_45,120,4109.23,4090.77,4112.31,4108.21,4107.18,4093.33,4106.67,4104.62,4124.1,4121.03,4127.69,4133.85,4126.67,4091.28,0
12_22_45,121,4106.15,4078.46,4113.33,4107.18,4106.67,4093.33,4108.72,4111.28,4128.72,4115.38,4125.13,4132.82,4122.56,4087.18,0
12_22_45,122,4107.18,4071.28,4110.77,4107.18,4107.69,4090.26,4108.72,4109.23,4132.82,4110.77,4115.9,4130.26,4122.56,4088.72,0
12_22_45,123,4105.13,4080,4107.69,4106.67,4106.67,4086.67,4106.67,4107.69,4131.28,4112.31,4112.82,4125.64,4126.15,4087.18,0
12_22_45,124,4097.44,4082.05,4106.67,4105.13,4104.62,4088.21,4106.15,4105.64,4124.62,4110.77,4113.85,4122.56,4122.05,4084.62,0
12_22_45,125,4090.77,4075.9,4107.18,4105.64,4105.13,4090.77,4105.13,4102.56,4120.51,4106.15,4112.82,4123.08,4118.97,4088.72,0
12_22_45,126,4089.74,4077.95,4107.18,4107.18,4107.69,4090.26,4105.64,4104.62,4125.64,4106.15,4111.79,4124.62,4122.05,4092.31,0
12_22_45,127,4090.26,4085.13,4106.15,4109.23,4108.21,4089.23,4105.13,4102.56,4123.59,4111.79,4110.26,4123.08,4124.62,4090.26,0
12_22_45,128,4090.77,4085.64,4107.18,4107.69,4107.69,4088.72,4100.51,4090.26,4109.74,4107.69,4107.69,4121.54,4121.54,4089.23,0
12_22_45,0,4092.31,4080.51,4106.67,4108.21,4108.21,4083.59,4097.44,4087.69,4105.13,4096.41,4105.64,4117.44,4112.31,4090.77,0
12_22_45,1,4091.28,4080,4105.13,4109.23,4107.69,4078.46,4095.9,4094.87,4111.28,4097.44,4105.64,4109.23,4107.18,4088.72,0
12_22_45,2,4084.62,4079.49,4105.13,4100.51,4102.56,4078.97,4095.38,4092.82,4109.23,4102.56,4105.64,4108.21,4107.69,4083.59,0
12_22_45,2,4084.62,4079.49,4105.13,4100.51,4102.56,4078.97,4095.38,4092.82,4109.23,4102.56,4105.64,4108.21,4107.69,4083.59,0
12_22_45,10,4097.95,4089.74,4112.31,4104.1,4106.15,4081.03,4092.82,4085.64,4101.03,4108.72,4120.51,4135.38,4118.97,4089.74,0
12_22_45,11,4095.38,4080.51,4108.72,4106.67,4107.69,4087.18,4101.54,4092.31,4108.21,4107.69,4125.64,4127.69,4112.31,4087.69,0
12_22_45,12,4091.79,4080.51,4108.21,4105.13,4106.15,4087.69,4107.69,4096.41,4121.03,4109.23,4119.49,4124.62,4107.69,4083.08,0
12_22_45,13,4086.15,4077.95,4103.59,4092.82,4100,4081.54,4098.97,4097.95,4116.41,4112.31,4112.82,4119.49,4108.72,4077.44,0
12_22_45,14,4081.54,4071.28,4099.49,4088.72,4097.95,4078.97,4091.79,4100,4107.69,4113.33,4111.79,4110.26,4109.74,4076.41,0
12_22_45,15,4078.46,4073.33,4095.9,4093.33,4097.95,4084.62,4093.85,4096.92,4104.1,4108.21,4108.72,4105.13,4101.03,4072.31,0
12_22_45,16,4077.44,4075.9,4092.31,4090.77,4094.87,4089.23,4094.87,4090.77,4097.95,4100.51,4105.13,4105.64,4090.26,4068.72,0
12_22_45,17,4077.44,4078.46,4094.87,4086.15,4093.85,4083.08,4091.79,4088.21,4091.28,4101.54,4106.15,4105.13,4094.36,4070.77,0
12_22_45,18,4084.1,4088.21,4102.56,4094.87,4098.97,4080,4092.31,4088.72,4093.33,4107.18,4113.85,4110.77,4106.15,4078.46,0
12_22_45,19,4098.97,4096.41,4109.23,4107.18,4106.15,4089.23,4097.95,4090.77,4096.41,4108.72,4122.05,4123.59,4111.79,4088.21,0
12_22_45,20,4105.13,4096.92,4110.77,4108.21,4108.21,4091.28,4098.46,4091.79,4098.97,4107.18,4125.13,4130.77,4117.44,4092.31,0
12_22_45,21,4102.05,4094.87,4111.79,4105.64,4104.62,4083.59,4092.82,4088.21,4104.1,4112.31,4126.67,4127.69,4122.05,4091.79,0
