TIME, ED_COUNTER, AF3, F7, F3, FC5, T7, P7, O1, O2, P8, T8, FC6, F4, F8, AF4, LABEL
12_26_57,51,4060,4091.28,4073.85,4080.51,4105.64,4082.05,4095.9,4082.56,4078.97,4085.64,4083.59,4092.82,4021.03,4057.95,0
12_26_57,52,4060,4086.15,4073.33,4078.46,4097.44,4082.05,4099.49,4088.72,4083.59,4099.49,4083.59,4092.82,4024.1,4061.03,0
12_26_57,53,4054.87,4083.59,4073.85,4074.36,4090.77,4076.92,4098.46,4098.46,4087.69,4093.85,4084.1,4092.82,4019.49,4058.97,0
12_26_57,54,4052.31,4084.1,4071.79,4073.85,4090.77,4074.36,4092.82,4094.87,4085.64,4080,4082.56,4087.69,4020,4053.85,0
12_26_57,55,4049.74,4078.97,4064.62,4071.79,4082.56,4070.26,4090.77,4085.64,4075.9,4067.69,4072.82,4078.46,4013.33,4048.72,0
12_26_57,56,4051.28,4077.95,4065.13,4070.26,4077.95,4070.26,4090.26,4087.18,4073.33,4077.95,4073.33,4078.46,4003.08,4049.23,0
12_26_57,57,4057.95,4088.21,4075.38,4074.87,4083.59,4073.33,4090.77,4088.72,4076.92,4094.36,4079.49,4087.18,4008.21,4050.26,0
12_26_57,58,4062.05,4088.21,4076.92,4078.97,4080.51,4068.72,4089.74,4080,4072.82,4075.38,4076.92,4092.31,4015.38,4050.77,0
12_26_57,59,4062.56,4080,4072.82,4073.85,4076.92,4065.13,4087.69,4073.33,4066.15,4060.51,4080.51,4093.33,4012.31,4055.38,0
12_26_57,60,4064.1,4083.08,4076.92,4074.36,4083.59,4073.85,4089.23,4075.9,4067.18,4081.03,4084.1,4097.95,4015.38,4058.97,0
12_26_57,61,4070.26,4092.31,4082.05,4086.15,4090.26,4079.49,4092.31,4082.05,4072.31,4088.21,4084.1,4104.1,4025.13,4064.62,0
12_26_57,62,4077.44,4093.33,4080.51,4090.26,4095.9,4074.87,4093.85,4090.26,4077.95,4082.05,4090.77,4111.28,4027.18,4076.92,0
12_26_57,63,4072.31,4083.59,4074.36,4078.97,4092.82,4073.85,4093.85,4091.28,4079.49,4089.23,4089.23,4106.67,4023.08,4074.87,0
12_26_57,64,4055.9,4075.38,4070.77,4070.77,4077.44,4075.38,4091.79,4081.54,4074.87,4085.64,4073.85,4091.79,4024.1,4057.44,0
12_26_57,65,4059.49,4076.41,4074.36,4078.46,4076.41,4074.36,4090.77,4085.13,4077.95,4077.44,4076.41,4090.26,4037.95,4056.41,0
12_26_57,66,4078.46,4081.03,4076.41,4083.08,4091.79,4076.92,4093.85,4094.36,4085.13,4087.18,4091.79,4101.54,4048.21,4073.33,0
12_26_57,67,4077.95,4076.92,4074.36,4075.9,4094.87,4080.51,4096.41,4092.31,4083.59,4089.74,4085.64,4100.51,4050.26,4075.9,0
12_26_57,68,4072.31,4080,4074.36,4074.36,4089.23,4080.51,4093.85,4089.23,4084.1,4085.13,4081.54,4092.82,4063.59,4072.82,0
12_26_57,69,4077.44,4087.18,4077.44,4080.51,4093.85,4082.05,4092.82,4090.77,4097.44,4101.03,4093.33,4096.92,4081.54,4080,0
12_26_57,70,4071.79,4071.28,4075.38,4074.36,4092.31,4084.62,4095.38,4091.28,4103.59,4105.13,4089.74,4095.9,4077.44,4074.87,0
12_26_57,71,4063.59,4066.15,4069.74,4069.23,4087.18,4086.67,4096.92,4089.74,4094.87,4084.1,4074.36,4089.74,4063.59,4061.03,0
12_26_57,72,4080,4094.36,4073.33,4084.1,4101.54,4091.28,4098.46,4093.33,4098.46,4084.62,4074.87,4090.77,4066.15,4067.18,0
12_26_57,73,4100.51,4114.36,4084.1,4097.44,4111.28,4095.38,4100,4104.62,4113.33,4103.59,4079.49,4095.9,4067.69,4081.54,0
12_26_57,74,4104.62,4113.33,4089.23,4097.95,4101.03,4093.33,4098.46,4108.72,4114.36,4093.85,4073.85,4100,4062.56,4086.15,0
12_26_57,75,4104.62,4113.33,4089.23,4098.46,4091.79,4091.79,4097.44,4098.97,4105.64,4073.85,4073.85,4101.54,4071.28,4089.74,0
12_26_57,76,4107.18,4110.26,4091.79,4097.95,4096.92,4093.85,4100.51,4091.79,4107.69,4084.62,4080,4100,4074.87,4088.72,0
12_26_57,77,4103.59,4098.97,4092.31,4093.33,4094.87,4092.82,4097.44,4092.82,4106.15,4094.87,4079.49,4096.41,4063.08,4083.08,0
12_26_57,78,4093.85,4092.31,4086.67,4089.23,4076.92,4088.72,4088.21,4090.26,4092.82,4075.9,4071.28,4091.79,4054.36,4081.54,0
12_26_57,79,4087.18,4088.72,4086.67,4087.18,4077.44,4089.23,4089.74,4087.69,4093.33,4061.54,4072.82,4090.26,4055.9,4078.97,0
12_26_57,80,4095.38,4094.36,4092.82,4088.21,4100.51,4093.85,4099.49,4091.28,4103.59,4074.36,4083.59,4093.85,4054.36,4076.41,0
12_26_57,81,4105.64,4105.64,4093.85,4090.77,4107.18,4095.38,4098.46,4096.92,4106.15,4090.26,4082.05,4094.87,4054.87,4081.03,0
12_26_57,82,4106.15,4109.23,4092.31,4096.92,4096.41,4092.31,4094.87,4104.1,4110.26,4095.9,4079.49,4095.38,4067.18,4089.74,0
12_26_57,83,4105.64,4107.18,4093.33,4102.05,4097.95,4091.79,4102.05,4105.64,4112.31,4094.87,4089.74,4094.87,4075.9,4092.82,0
12_26_57,84,4101.03,4100.51,4092.82,4094.87,4100.51,4092.82,4102.56,4096.92,4102.56,4086.67,4089.74,4086.67,4070.77,4084.1,0
12_26_57,85,4094.36,4096.92,4089.74,4088.72,4093.85,4093.33,4095.38,4090.77,4096.92,4084.1,4078.46,4080.51,4066.67,4074.36,0
12_26_57,86,4093.85,4100.51,4088.72,4093.85,4096.41,4096.41,4100.51,4099.49,4104.62,4087.69,4081.03,4082.56,4068.21,4076.41,0
12_26_57,87,4094.36,4103.59,4089.74,4097.95,4101.03,4098.97,4110.77,4112.31,4115.38,4092.82,4086.67,4083.59,4065.13,4080.51,0
12_26_57,88,4091.79,4101.03,4091.79,4094.87,4094.87,4095.38,4104.1,4107.18,4109.74,4090.26,4080,4078.97,4061.03,4075.9,0
12_26_57,89,4084.1,4089.74,4088.72,4086.67,4089.74,4089.74,4090.77,4087.69,4088.72,4071.79,4067.69,4070.26,4050.26,4065.13,0
12_26_57,90,4080.51,4080.51,4086.67,4082.56,4090.26,4088.72,4091.28,4076.92,4081.03,4064.62,4064.62,4066.15,4037.95,4062.05,0
12_26_57,91,4091.28,4090.77,4094.36,4093.85,4094.36,4090.26,4093.33,4077.95,4092.31,4082.05,4076.92,4080,4052.82,4076.92,0
12_26_57,92,4098.97,4101.03,4097.95,4099.49,4094.87,4086.67,4084.62,4077.44,4093.33,4086.67,4083.08,4087.69,4065.64,4086.15,0
12_26_57,93,4091.79,4092.31,4092.82,4086.67,4087.18,4081.03,4075.9,4069.23,4077.44,4067.18,4069.74,4075.38,4048.72,4074.87,0
12_26_57,94,4095.9,4092.31,4096.92,4084.62,4081.54,4082.05,4079.49,4068.21,4072.82,4067.69,4068.21,4076.92,4046.15,4074.36,0
12_26_57,95,4109.74,4106.15,4108.72,4101.54,4091.28,4091.79,4091.28,4076.41,4079.49,4088.21,4086.67,4094.36,4063.59,4092.82,0
12_26_57,96,4109.23,4102.05,4107.69,4104.1,4097.44,4091.28,4093.33,4079.49,4080,4083.08,4087.18,4096.41,4060.51,4091.28,0
12_26_57,97,4101.54,4086.15,4100,4089.74,4081.03,4076.92,4085.64,4076.41,4074.87,4056.41,4075.9,4087.69,4047.69,4076.41,0
12_26_57,98,4102.05,4085.64,4101.03,4087.18,4076.92,4074.36,4085.13,4077.44,4076.41,4056.41,4079.49,4089.23,4046.15,4081.03,0
12_26_57,99,4104.1,4101.54,4107.18,4101.03,4091.28,4086.15,4091.28,4080,4081.03,4083.08,4084.1,4093.85,4050.26,4091.79,0
12_26_57,100,4107.18,4109.74,4106.67,4108.72,4096.92,4093.33,4092.82,4078.97,4082.05,4089.74,4081.03,4092.82,4055.38,4089.74,0
