TIME, ED_COUNTER, AF3, F7, F3, FC5, T7, P7, O1, O2, P8, T8, FC6, F4, F8, AF4, LABEL
12_28_41,54,4120.51,4129.74,4107.18,4115.9,4094.87,4086.15,4099.49,4118.46,4087.18,4049.74,4077.95,4110.77,4029.23,4080,0
12_28_41,55,4122.05,4129.74,4104.62,4109.23,4118.97,4098.97,4106.15,4122.56,4096.92,4105.13,4072.31,4108.72,4031.28,4080.51,0
12_28_41,56,4116.41,4142.05,4104.1,4099.49,4141.54,4113.33,4100,4110.77,4096.41,4121.54,4059.49,4102.56,4045.13,4078.97,0
12_28_41,57,4116.92,4139.49,4104.62,4108.21,4126.15,4106.67,4100,4111.79,4085.64,4069.23,4068.21,4113.85,4049.23,4077.95,0
12_28_41,58,4123.59,4129.74,4106.15,4119.49,4098.97,4102.56,4106.15,4125.13,4098.46,4076.92,4081.03,4126.67,4038.97,4081.54,0
12_28_41,59,4110.77,4122.05,4106.67,4111.79,4072.31,4103.59,4097.44,4118.46,4106.67,4091.28,4081.54,4121.54,4033.33,4081.54,0
12_28_41,60,4104.1,4120,4106.15,4103.08,4090.26,4101.03,4090.77,4109.23,4092.31,4075.9,4081.54,4117.44,4034.36,4075.9,0
12_28_41,61,4123.08,4130.77,4109.74,4109.74,4148.72,4106.15,4106.15,4122.56,4094.87,4096.41,4083.59,4126.67,4039.49,4082.56,0
12_28_41,62,4121.03,4120,4109.23,4111.79,4135.38,4114.36,4111.28,4127.69,4102.05,4097.44,4078.97,4121.03,4033.85,4085.64,0
12_28_41,63,4105.64,4108.72,4105.64,4108.21,4083.59,4110.26,4101.03,4119.49,4097.44,4071.28,4078.46,4114.87,4029.74,4082.05,0
12_28_41,64,4109.23,4123.08,4107.69,4106.15,4091.28,4105.13,4097.95,4119.49,4096.41,4079.49,4078.97,4120.51,4038.97,4080.51,0
12_28_41,65,4105.64,4122.05,4102.05,4104.62,4105.64,4104.62,4095.38,4116.41,4102.05,4103.59,4071.28,4109.74,4037.44,4072.82,0
12_28_42,66,4094.36,4104.62,4090.26,4102.56,4101.03,4106.15,4089.74,4097.95,4088.72,4096.41,4069.74,4096.92,4026.67,4066.15,0
12_28_42,67,4104.1,4113.33,4089.74,4098.97,4117.95,4103.59,4090.26,4089.23,4075.9,4087.69,4071.79,4105.13,4035.9,4074.36,0
12_28_42,68,4110.77,4132.31,4096.41,4100,4127.18,4100,4092.31,4100,4081.03,4086.15,4068.21,4109.74,4048.72,4078.97,0
12_28_42,69,4099.49,4121.03,4094.36,4108.72,4095.38,4102.56,4091.79,4101.54,4078.46,4061.54,4071.79,4102.05,4030.77,4069.23,0
12_28_42,70,4103.08,4108.72,4095.38,4110.77,4076.41,4106.67,4096.41,4099.49,4079.49,4063.08,4086.15,4106.15,4020,4070.77,0
12_28_42,71,4111.79,4115.9,4100,4101.54,4108.21,4107.18,4096.92,4105.64,4090.77,4107.18,4078.97,4110.26,4040,4080,0
12_28_42,72,4106.67,4124.62,4094.36,4093.85,4132.82,4108.72,4085.64,4096.92,4080.51,4102.56,4062.05,4100.51,4050.26,4080,0
12_28_42,73,4110.26,4125.13,4094.36,4098.97,4120,4107.69,4080.51,4087.18,4071.28,4059.49,4075.9,4101.03,4041.54,4080.51,0
12_28_42,74,4117.95,4117.95,4103.08,4111.79,4100,4098.46,4090.26,4105.64,4095.38,4082.56,4096.92,4114.87,4044.62,4084.62,0
12_28_42,75,4114.36,4115.38,4101.03,4111.79,4092.31,4100,4096.92,4117.95,4101.54,4111.79,4091.28,4116.41,4056.92,4084.62,0
12_28_42,76,4098.46,4107.18,4089.23,4094.36,4096.41,4107.18,4085.64,4096.41,4068.21,4071.79,4066.67,4097.95,4044.1,4070.77,0
