TIME, ED_COUNTER, AF3, F7, F3, FC5, T7, P7, O1, O2, P8, T8, FC6, F4, F8, AF4, LABEL
12_30_29,122,4101.03,4086.15,4084.1,4100,4151.79,4085.64,4100,4091.28,4094.36,4128.21,4112.82,4137.44,4102.56,4143.59,0
12_30_29,123,4109.74,4116.92,4087.18,4087.69,4158.46,4082.56,4096.92,4090.77,4096.92,4144.62,4106.15,4137.95,4129.23,4153.33,0
12_30_29,124,4110.26,4111.79,4082.05,4097.95,4118.46,4085.64,4094.87,4088.21,4088.72,4109.74,4116.92,4135.9,4110.77,4156.41,0
12_30_29,125,4105.64,4095.38,4081.54,4116.92,4130.77,4090.26,4095.9,4091.79,4094.36,4101.54,4123.59,4131.79,4100.51,4148.21,0
12_30_29,126,4093.85,4096.92,4080,4107.69,4152.82,4080.51,4089.23,4086.15,4094.36,4095.9,4100.51,4114.87,4097.44,4136.92,0
12_30_29,127,4085.64,4074.36,4072.31,4090.26,4131.79,4070.77,4083.59,4073.33,4078.46,4089.23,4077.95,4102.05,4073.85,4124.1,0
12_30_29,128,4092.31,4057.95,4075.38,4089.23,4133.33,4076.41,4092.31,4077.44,4069.23,4093.85,4088.72,4113.85,4073.85,4121.54,0
12_30_29,0,4085.13,4078.97,4077.44,4085.13,4114.87,4075.9,4092.31,4077.44,4065.64,4072.82,4090.77,4113.85,4078.97,4118.97,0
12_30_29,1,4060.51,4076.92,4071.28,4076.41,4071.79,4072.31,4083.08,4067.69,4063.59,4067.69,4070.77,4092.82,4050.77,4108.72,0
12_30_29,2,4072.82,4065.13,4079.49,4083.08,4132.82,4087.18,4096.41,4081.54,4085.64,4098.97,4093.85,4106.67,4047.69,4117.95,0
12_30_29,3,4100,4092.31,4088.21,4093.85,4200.51,4092.82,4110.77,4097.44,4100.51,4104.62,4114.87,4132.82,4082.05,4131.28,0
12_30_29,4,4087.69,4107.18,4078.46,4093.33,4137.95,4081.03,4100,4084.1,4082.56,4078.97,4084.62,4116.92,4086.67,4124.1,0
12_30_29,5,4075.9,4086.15,4074.36,4089.74,4081.54,4075.9,4088.72,4080.51,4080.51,4082.56,4075.38,4095.9,4059.49,4116.92,0
12_30_29,6,4088.72,4084.1,4078.46,4082.56,4125.13,4078.46,4092.82,4091.79,4098.46,4118.46,4094.87,4106.67,4054.87,4124.1,0
12_30_29,7,4090.77,4086.67,4074.87,4077.44,4150.77,4077.95,4097.44,4088.21,4092.82,4117.95,4093.85,4114.87,4074.87,4122.05,0
12_30_29,8,4080.51,4081.03,4072.31,4083.59,4133.33,4078.97,4095.38,4081.03,4076.92,4072.31,4085.13,4105.13,4069.74,4107.69,0
12_30_29,9,4075.38,4088.72,4071.28,4080.51,4123.08,4080,4090.77,4072.31,4068.72,4062.05,4071.28,4089.74,4038.97,4098.46,0
12_30_29,10,4071.28,4094.36,4064.62,4071.28,4121.54,4081.54,4088.72,4066.67,4064.1,4101.03,4059.49,4085.13,4036.41,4101.54,0
12_30_29,11,4078.46,4097.44,4068.21,4073.85,4126.15,4084.1,4095.38,4077.44,4069.23,4098.46,4080.51,4099.49,4056.92,4106.15,0
12_30_29,12,4084.1,4094.36,4077.95,4074.87,4114.36,4074.36,4095.38,4076.92,4069.23,4069.74,4085.64,4100,4057.95,4106.67,0
12_30_29,13,4074.87,4090.26,4075.38,4073.33,4104.62,4063.59,4089.74,4063.08,4060.51,4084.62,4058.97,4086.15,4058.46,4109.23,0
12_30_29,14,4075.9,4098.46,4074.87,4081.03,4132.31,4076.92,4093.85,4065.13,4065.13,4084.1,4067.69,4093.33,4069.74,4110.26,0
12_30_29,15,4092.31,4112.31,4087.69,4085.13,4160.51,4088.21,4099.49,4077.95,4082.05,4069.74,4098.46,4113.33,4069.74,4114.87,0
12_30_29,16,4092.31,4117.95,4091.28,4082.05,4127.18,4070.77,4092.31,4069.74,4064.62,4075.38,4085.64,4107.69,4058.97,4113.85,0
12_30_29,17,4089.74,4134.36,4085.64,4085.64,4106.15,4060,4087.69,4054.87,4036.41,4069.74,4063.08,4093.33,4062.56,4113.33,0
12_30_29,18,4098.46,4145.64,4086.15,4088.21,4120,4063.08,4091.28,4056.92,4047.69,4066.67,4072.31,4094.36,4070.26,4121.54,0
12_30_29,19,4095.38,4128.21,4087.69,4082.05,4110.77,4064.62,4089.74,4062.56,4058.97,4082.05,4075.38,4087.69,4069.74,4118.46,0
12_30_29,20,4089.23,4129.23,4091.28,4076.92,4115.38,4067.69,4088.21,4061.03,4045.64,4066.15,4068.72,4085.13,4067.69,4110.26,0
12_30_29,21,4094.36,4138.97,4089.74,4075.9,4122.56,4067.18,4088.72,4058.46,4047.69,4038.46,4076.92,4090.26,4063.59,4110.77,0
12_30_29,22,4090.77,4115.9,4077.44,4074.87,4102.05,4065.13,4083.59,4057.95,4063.59,4061.03,4076.41,4075.9,4055.38,4101.03,0
12_30_29,23,4085.13,4102.56,4074.36,4071.79,4121.03,4068.21,4082.05,4057.95,4061.54,4094.36,4060.51,4064.1,4068.21,4092.31,0
12_30_29,24,4103.08,4131.28,4088.21,4070.26,4158.46,4070.77,4093.33,4061.03,4057.44,4090.26,4063.59,4081.03,4103.59,4110.77,0
12_30_29,25,4120.51,4156.41,4102.56,4075.38,4138.46,4070.26,4106.15,4066.67,4068.72,4069.23,4080.51,4092.31,4113.33,4128.72,0
12_30_29,26,4108.21,4143.08,4107.69,4079.49,4133.85,4075.38,4106.67,4064.62,4076.41,4067.69,4075.9,4078.97,4091.79,4117.95,0
12_30_29,27,4097.95,4134.87,4108.21,4075.9,4180,4081.03,4098.46,4060,4078.46,4092.31,4072.31,4076.92,4086.15,4108.72,0
12_30_29,28,4105.64,4143.08,4108.72,4075.9,4155.38,4074.36,4096.92,4060,4076.41,4089.74,4082.56,4085.64,4097.95,4112.31,0
12_30_29,29,4100,4128.21,4110.77,4076.92,4112.82,4068.72,4105.64,4062.56,4076.41,4056.41,4070.26,4080,4098.97,4110.77,0
12_30_29,30,4081.03,4105.64,4103.59,4065.64,4157.44,4074.36,4103.08,4058.46,4073.33,4055.9,4047.69,4068.21,4086.15,4104.62,0
12_30_29,31,4080,4109.74,4096.92,4062.05,4178.46,4075.38,4091.28,4052.82,4069.74,4077.44,4055.38,4069.74,4075.38,4106.15,0
12_30_29,32,4090.26,4130.77,4100.51,4073.33,4153.85,4068.72,4099.49,4058.46,4072.82,4069.74,4067.18,4079.49,4077.95,4109.23,0
12_30_29,33,4089.23,4136.92,4096.92,4072.31,4176.41,4071.79,4111.28,4063.59,4072.82,4065.64,4051.79,4076.92,4084.1,4102.56,0
12_30_29,34,4089.23,4129.74,4091.79,4067.18,4193.33,4076.92,4105.64,4064.62,4080.51,4074.87,4055.9,4075.38,4087.69,4102.05,0
12_30_29,35,4087.69,4116.92,4092.31,4069.23,4156.92,4071.28,4096.41,4064.62,4086.15,4065.13,4068.72,4075.38,4081.03,4102.05,0
12_30_29,36,4068.21,4098.97,4081.54,4061.03,4148.21,4074.87,4094.87,4052.31,4057.95,4043.08,4033.85,4056.92,4055.38,4085.64,0
12_30_29,37,4058.46,4102.05,4076.92,4058.46,4172.82,4075.9,4098.46,4046.15,4040.51,4041.54,4010.26,4048.21,4050.26,4080,0
12_30_29,38,4083.08,4124.1,4098.97,4075.9,4163.59,4066.67,4104.62,4059.49,4070.26,4057.44,4048.21,4069.74,4080,4093.33,0
12_30_29,39,4098.46,4131.79,4112.31,4084.62,4157.44,4070.77,4107.69,4064.62,4088.72,4063.59,4081.54,4083.08,4083.59,4099.49,0
12_30_29,40,4083.08,4122.56,4098.46,4073.85,4177.95,4080,4104.1,4052.82,4070.26,4054.87,4065.13,4072.82,4057.95,4095.38,0
12_30_29,41,4078.97,4125.64,4093.85,4069.74,4191.28,4083.08,4104.1,4051.28,4067.18,4058.97,4045.64,4064.62,4060.51,4093.85,0
12_30_29,42,4095.38,4133.33,4105.13,4078.97,4188.72,4082.05,4109.23,4060.51,4086.15,4088.72,4049.74,4071.28,4085.13,4094.36,0
12_30_29,43,4084.62,4118.46,4095.9,4072.82,4170.26,4075.9,4103.08,4049.74,4070.26,4074.87,4044.1,4062.56,4073.85,4084.1,0
12_30_29,44,4055.38,4099.49,4076.92,4058.46,4161.54,4066.67,4093.85,4033.85,4041.54,4018.46,4029.74,4040,4041.03,4069.74,0
12_30_29,45,4059.49,4105.64,4086.15,4064.1,4175.9,4066.15,4101.03,4047.18,4058.97,4025.13,4036.92,4043.08,4042.05,4073.85,0
12_30_29,46,4082.56,4124.1,4100,4072.82,4178.46,4071.28,4103.08,4058.97,4077.95,4069.23,4046.15,4063.59,4059.49,4080,0
12_30_29,47,4080,4123.59,4088.21,4067.18,4152.31,4074.36,4093.33,4038.97,4052.31,4058.97,4035.9,4059.49,4050.77,4070.26,0
12_30_29,48,4070.26,4115.38,4086.67,4068.21,4145.64,4073.85,4098.97,4032.31,4044.62,4035.9,4037.44,4051.28,4038.97,4068.72,0
12_30_29,49,4074.87,4122.56,4102.56,4073.85,4173.33,4071.79,4109.23,4051.79,4064.62,4050.26,4046.15,4065.64,4047.69,4077.95,0
12_30_29,50,4080,4124.62,4102.05,4070.26,4171.28,4070.77,4097.95,4054.36,4062.56,4049.23,4042.56,4075.9,4047.18,4081.03,0
12_30_29,51,4080.51,4107.18,4092.31,4069.23,4140,4070.26,4089.23,4047.69,4062.56,4041.54,4057.44,4076.92,4040.51,4086.15,0
12_30_29,52,4075.38,4098.46,4094.36,4067.69,4137.44,4071.28,4092.82,4047.69,4067.69,4057.95,4064.1,4072.82,4046.67,4089.74,0
12_30_29,53,4070.26,4114.36,4100,4064.62,4159.49,4074.87,4094.87,4046.67,4063.59,4073.33,4044.62,4064.1,4049.74,4084.62,0
12_30_29,54,4069.74,4114.36,4095.38,4063.59,4158.97,4074.36,4094.36,4044.1,4056.92,4060,4040.51,4060.51,4043.59,4073.85,0
12_30_29,55,4066.67,4100,4088.72,4059.49,4148.21,4073.33,4095.38,4044.1,4047.18,4034.36,4045.13,4058.46,4038.46,4061.03,0
