TIME, ED_COUNTER, AF3, F7, F3, FC5, T7, P7, O1, O2, P8, T8, FC6, F4, F8, AF4, LABEL
12_32_13,127,4091.79,4073.33,4109.74,4066.67,4083.59,4104.62,4093.33,4087.18,4108.21,4090.26,4087.69,4110.77,4086.15,4082.56,0
12_32_13,128,4084.62,4071.28,4105.64,4064.1,4095.38,4120.51,4091.28,4085.13,4113.33,4096.92,4086.15,4109.23,4084.1,4075.9,0
12_32_13,0,4077.95,4066.67,4100,4060,4110.26,4124.62,4092.31,4083.59,4119.49,4087.18,4088.72,4103.59,4076.92,4072.31,0
12_32_13,1,4083.08,4065.64,4102.05,4074.36,4093.33,4110.77,4093.33,4089.74,4113.85,4090.77,4093.33,4105.64,4087.69,4076.41,0
12_32_13,2,4083.08,4064.1,4103.08,4078.97,4075.38,4104.62,4088.72,4088.72,4102.56,4087.69,4078.46,4104.62,4091.79,4075.9,0
12_32_13,3,4077.44,4070.77,4098.97,4061.03,4109.23,4110.77,4089.23,4082.05,4105.64,4078.46,4074.87,4105.13,4078.97,4075.38,0
12_32_13,4,4080,4081.03,4100,4059.49,4140,4120,4093.33,4085.64,4111.79,4083.08,4092.31,4110.77,4083.59,4080.51,0
12_32_13,5,4074.87,4072.31,4102.56,4065.13,4112.82,4127.69,4085.64,4084.62,4102.56,4086.15,4081.03,4104.1,4083.08,4074.87,0
12_32_13,6,4060,4054.87,4101.03,4053.33,4091.28,4118.97,4080.51,4080,4093.85,4082.05,4054.87,4091.28,4057.95,4062.56,0
12_32_13,7,4073.85,4067.69,4105.13,4058.97,4103.08,4106.67,4090.26,4089.23,4104.1,4083.08,4074.36,4103.59,4073.33,4073.85,0
12_32_13,8,4100.51,4085.64,4110.26,4078.46,4111.79,4115.38,4096.41,4096.41,4114.87,4087.18,4100.51,4122.05,4109.23,4099.49,0
12_32_13,9,4103.59,4080.51,4112.82,4078.97,4106.15,4122.05,4092.31,4090.26,4104.62,4089.74,4091.28,4119.49,4096.92,4107.18,0
12_32_14,10,4103.59,4082.05,4117.44,4075.38,4093.33,4112.82,4090.26,4085.64,4091.79,4093.85,4084.62,4116.92,4085.13,4106.15,0
12_32_14,11,4110.26,4093.85,4118.97,4077.95,4093.33,4110.26,4085.13,4081.54,4093.85,4087.69,4092.82,4124.1,4101.54,4107.69,0
12_32_14,12,4108.21,4090.77,4115.38,4074.87,4100.51,4113.33,4079.49,4080,4101.54,4081.54,4092.31,4124.1,4096.41,4100.51,0
